Geo Point;Geo Shape;infobulle;nom;ligne;etat;type;en_service;couvert;commune
43.566070319723806,1.39798184931712;"{""coordinates"": [[1.39798184931712, 43.566070319723806]], ""type"": ""MultiPoint""}";"BELLEFONTAINE
Ligne A";BELLEFONTAINE;A;Existant;Metro;1993;Souterrain;TOULOUSE
43.596404401428096,1.423026771309233;"{""coordinates"": [[1.423026771309233, 43.596404401428096]], ""type"": ""MultiPoint""}";"PATTE D'OIE
Ligne A";PATTE D'OIE;A;Existant;Metro;1993;Souterrain;TOULOUSE
43.597992727342124,1.431706193747511;"{""coordinates"": [[1.431706193747511, 43.597992727342124]], ""type"": ""MultiPoint""}";"SAINT-CYPRIEN REPUBLIQUE
Ligne A";SAINT-CYPRIEN REPUBLIQUE;A;Existant;Metro;1993;Souterrain;TOULOUSE
43.61075751258499,1.455103023058512;"{""coordinates"": [[1.455103023058512, 43.61075751258499]], ""type"": ""MultiPoint""}";"MARENGO - SNCF
Ligne A";MARENGO - SNCF;A;Existant;Metro;1993;Souterrain;TOULOUSE
43.58635889716109,1.44714575039516;"{""coordinates"": [[1.44714575039516, 43.58635889716109]], ""type"": ""MultiPoint""}";"SAINT-MICHEL - MARCEL LANGER
Ligne B";SAINT-MICHEL - MARCEL LANGER;B;Existant;Metro;2007;Souterrain;TOULOUSE
43.61058045988207,1.435528991780478;"{""coordinates"": [[1.435528991780478, 43.61058045988207]], ""type"": ""MultiPoint""}";"COMPANS-CAFFARELLI
Ligne B";COMPANS-CAFFARELLI;B;Existant;Metro;2007;Souterrain;TOULOUSE
43.63384922318083,1.435735168457337;"{""coordinates"": [[1.435735168457337, 43.63384922318083]], ""type"": ""MultiPoint""}";"LA VACHE
Ligne B";LA VACHE;B;Existant;Metro;2007;Souterrain;TOULOUSE
43.595583052289484,1.401452184599861;"{""coordinates"": [[1.401452184599861, 43.595583052289484]], ""type"": ""MultiPoint""}";"TOEC
Ligne C";TOEC;C;Existant;Train;1993;Aérien;TOULOUSE
43.59659476657485,1.38404977084177;"{""coordinates"": [[1.38404977084177, 43.59659476657485]], ""type"": ""MultiPoint""}";"LARDENNE
Ligne C";LARDENNE;C;Existant;Train;1993;Aérien;TOULOUSE
43.60365676741956,1.333286025484951;"{""coordinates"": [[1.333286025484951, 43.60365676741956]], ""type"": ""MultiPoint""}";"COLOMIERS
Ligne C";COLOMIERS;C;Existant;Train;1993;Aérien;COLOMIERS
