Bruxelles  Ville- Département / Stad Brussel - Departement;Type de marché (Travaux, fournitures, services - objet du marché - procédure de passation);Type opdracht  (werken, leveringen, diensten - voorwerp van de opdracht - plaatsingsprocedure);Date du marché - Datum van de opdracht;Bénéficiaires (opérateur économique à qui le marché a été attribué) / Begunstigden  (onderneming aan wie de opdracht werd toegewezen);Montant engagé TVAC / vastgelegd bedrag btwi
Ressources humaines / Human resources;Marché à faible montant - Marché public de services à bordereau de prix ayant pour but l’organisation d’une formation Sensibilisation aux 1ers secours en milieu professionnel;Overheidsopdracht van beperkte waarde - Overheidsopdracht voor diensten tegen prijslijst met het doel: organiseren van een vorming Sensibilisering van 1ste hulp in de werkomgeving;9/05/2019;Mensura Consult;6.001,60
Ressources humaines / Human resources;Marché à faible montant - Marché public de services à bordereau de prix ayant pour but l’organisation d’une formation Ecoconduite pour les chauffeurs permis B de la Ville;Overheidsopdracht van beperkte waarde - Overheidsopdracht voor diensten tegen prijslijst met het doel: organiseren van een vorming Ecodriving voor de bestuurders rijbewijs B van de Stad;24/10/2019;Go for Safe Driving;27.865,11
Ressources humaines / Human resources;Marché à faible montant - Marché public de services à bordereau de prix ayant pour but l’organisation d’une formation Télétravail pour collaborateurs;Overheidsopdracht van beperkte waarde - Overheidsopdracht voor diensten tegen prijslijst met het doel: organiseren van een vorming Telewerk voor Medewerkers;1/03/2019;CFIP;23.750,00
Ressources humaines / Human resources;Marché à faible montant - Marché public de services ayant pour but l’organisation d’un coaching de néerlandais intensifs pour Mme Zoubida Jellab, Echevine des Espaces Verts et de la Propreté Publique.;Overheidsopdracht van beperkte waarde - Overheidsopdracht voor diensten tegen prijslijst met het doel : organiseren van intensieve coaching Nederlands voor Mw Zoubida Jellab, Schepen van Groene Ruimten en Openbare Netheid.;1/01/2020;Lerian Communications BVBA-VSO;1.806,25
Ressources humaines / Human resources;Marché public de services à bordereau de prix ayant pour but le contrôle, pendant 12 mois, des incapacités de travail du personnel de la Ville pour raison médicale;Overheidsopdracht voor diensten tegen prijslijst met het doel: de controle gedurende 12 maanden van de arbeidsongeschiktheid van het personeel van de stad om medische redenen;1/05/2019;Certimed;+/- 80.000,00
Ressources humaines / Human resources;Marché public de services à bordereau de prix ayant pour but la confection, pendant 36 mois, de chèques-cadeaux;Overheidsopdracht voor diensten tegen prijslijst met het doel: cadeaubonnen maken gedurende 36 maanden;1/12/2017;Sodexo;55,00
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix ayant pour but la fourniture, pendant 24 mois, de matériel hi-fi et audiovisuel pour divers départements conclu par procédure négociée sans publicité préalable en application de l'article 42,§ 1er, 1°, a, de la loi du 17/06/2016.- (cahier des charges n° CDA/010080).;Overheidsopdracht voor leveringen tegen prijslijst met het doel de levering, gedurende 24 maanden, van hi-fi en audiovisueel materiaal voor verschillende departementen afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenskomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010080).;10/01/19;Steylemans SA - bdl Emile Bockstael 412 - 1020 Bruxelles;45.038,28
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures ayant pour but la fourniture, le montage et l'installation de panneaux de basket-ball à relèvement électrique au plafond pour le Complexe Sportif de Neder-Over-Heembeek du département Culture, Jeunesse, Loisirs et Sports conclu par procédure négociée sans publicité préalable en application de  l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier spécial des charges n° CDA/010201).;Overheidsopdracht voor leveringen met het doel de levering, montage en installatie van elektrische plafondophijsbare basketbalborden voor het 'Complexe Sportif de Neder-Over-Heembeek' van het departement Cultuur, Jeugd, Ontspanning en Sport  afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenskomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010201).;10/01/19;Allard Sports Equipement SA - Weyler 28 - 6700 Arlon;48.097,50
Centrale d'Achats / Aankoopcentrale;Marché public de services à bordereau de prix et pendant 48 mois ayant pour but l'acquisition de terminaux de paiement avec les services y afférents (installation, activation, maintenance, assistance technique et abonnement) conclu par procédure négociée directe avec publicité en application de l'article 26, § 2, 1°, d, de la loi du 15/06/2006 (cahier spécial des charges CDA/007459).-  Dépense supplémentaire.;"Overheidsopdracht voor diensten tegen prijslijst en gedurende 48 maanden met het doel de aankoop van betaalautomaten met de bijhorende diensten (plaatsing, activering, onderhoud, technische bijstand en abonnement) afgesloten via vereenvoudigde
onderhandelingsprocedure met bekendmaking overeenkomstig artikel 26, § 2, 1°, d, van de wet van 15/06/2006 (bestel nr CDA/007459).- Bijkomende uitgave.";24/01/19;Wordline SA - chaussée de Haecht 1442 - 1130 Bruxelles;27.766,36
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix ayant pour but l'achat de pièces d'origine et les réparations, pendant 12 mois, des camions de la marque RENAULT du parc automobile du département Travaux de Voirie conclu  conclu par procédure négociée sans publicité préalable en application de  l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier spécial des charges n° CDA/010340).;Overheidsopdracht voor leveringen tegen prijslijst met het doel het aankopen van originele wisselstukken en de herstellingen, gedurende 12 maanden, van de vrachtwagens van het merk RENAULT van het autopark van het departement Wegeniswerken afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenskomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010340).;14/02/19;Truck Servic Londerzeel bvba - Nijverheidsstraat 18 - 1840 Londerzeel;100.000,00
